,city,latd,longd,elevation_m,elevation_ft,population_total,area_total_sq_mi,area_land_sq_mi,area_water_sq_mi,area_total_km2,area_land_km2,area_water_km2,area_water_percent
0,Adelanto,34.57611111111112,-117.4327777777778,875.0,2871.0,31765,56.027,56.00899999999999,0.018000000000000002,145.107,145.062,0.046,0.03
1,AgouraHills,34.15333333333333,-118.76166666666668,281.0,922.0,20330,7.822,7.792999999999998,0.029,20.26,20.184,0.076,0.37
2,Alameda,37.75611111111111,-122.27444444444444,180.41670506912445,33.0,75467,22.96,10.611,12.349,59.465,27.482,31.983,53.79
3,Albany,37.88694444444445,-122.29777777777778,180.41670506912445,43.0,18969,5.465,1.788,3.677,14.155,4.632,9.524,67.28
4,Alhambra,34.08194444444445,-118.135,150.0,492.0,83089,7.6320000000000014,7.631,0.001,19.766,19.763,0.003,0.01
5,AlisoViejo,33.575,-117.72555555555556,127.0,417.0,47823,7.472,7.472,0.0,19.352,19.352,0.0,0.0
6,Alturas,41.48722222222222,-120.5425,1332.0,4370.0,2827,2.449,2.435,0.014,6.3420000000000005,6.306,0.036000000000000004,0.57
7,AmadorCity,38.41944444444445,-120.82416666666666,280.0,919.0,185,0.314,0.314,0.0,0.813,0.813,0.0,0.0
8,AmericanCanyon,38.16805555555555,-122.2525,14.0,46.0,19454,4.845,4.837,0.008,12.548,12.527,0.021,0.17
9,Anaheim,33.83611111111112,-117.88972222222223,48.0,157.0,336000,50.81100000000001,49.835,0.976,131.6,129.07299999999998,2.527,1.92
10,Anderson,40.452222222222225,-122.29666666666668,132.0,430.0,9932,6.62,6.372000000000001,0.248,17.145,16.504,0.642,3.74
11,AngelsCamp,38.068333333333335,-120.53972222222221,420.0,1378.0,3836,3.637,3.628,0.009000000000000001,9.421,9.397,0.024,0.25
12,Antioch,38.005,-121.80583333333333,13.0,43.0,107100,29.083,28.349,0.7340000000000001,75.324,73.422,1.902,2.52
13,AppleValley,34.516666666666666,-117.21666666666668,898.0,2946.0,69135,73.523,73.193,0.33,190.426,189.57,0.856,0.45
14,Arcadia,34.13277777777777,-118.03638888888891,147.0,482.0,56364,11.133,10.925,0.208,28.836,28.296,0.54,1.87
15,Arcata,40.866388888888885,-124.08277777777779,180.41670506912445,23.0,17231,10.994000000000002,9.097,1.897,28.473000000000006,23.561,4.912,17.25
16,ArroyoGrande,35.12083333333334,-120.58666666666666,36.0,118.0,17716,5.835,5.835,0.0,15.113,15.113,0.0,0.0
17,Artesia,33.867222222222225,-118.08055555555555,16.0,52.0,16522,1.621,1.621,0.0,4.197,4.197,0.0,0.0
18,Arvin,35.20916666666667,-118.82833333333332,137.0,449.0,19304,4.819,4.819,0.0,12.482,12.482,0.0,0.0
19,Atascadero,35.48416666666667,-120.6725,268.0,879.0,28310,26.13,25.641,0.489,67.675,66.40899999999999,1.265,1.87
20,Atherton,37.45861111111111,-122.2,18.0,59.0,6914,5.049,5.017,0.032,13.076,12.993,0.08199999999999999,0.63
21,Atwater,37.34777777777778,-120.60916666666668,46.0,151.0,28168,6.096,6.0870000000000015,0.009000000000000001,15.788,15.765999999999998,0.022,0.14
22,Auburn,38.89861111111111,-121.07444444444445,374.0,1227.0,13330,7.166,7.138,0.028,18.56,18.488,0.071,0.38
23,Avalon,33.340833333333336,-118.32777777777777,9.0,30.0,3728,2.937,2.935,0.002,7.607,7.602,0.005,0.07
24,Avenal,36.00416666666667,-120.12888888888888,246.0,807.0,13239,19.422,19.422,0.0,50.302,50.302,0.0,0.0
25,Azusa,34.130555555555546,-117.90694444444445,186.0,610.0,46361,9.669,9.656,0.013,25.042,25.01,0.032,0.13
26,Bakersfield,35.36666666666667,-119.01666666666668,180.41670506912445,404.0,347483,143.609,142.164,1.445,371.946,368.204,3.742,1.01
27,BaldwinPark,34.08277777777778,-117.97166666666666,114.0,374.0,75390,6.7860000000000005,6.631,0.155,17.575,17.174,0.4,2.28
28,Banning,33.931666666666665,-116.8975,716.0,2349.0,29603,23.099,23.099,0.0,59.826,59.826,0.0,0.0
29,Barstow,34.9,-117.01666666666668,664.0,2178.0,22639,41.394,41.385,0.009000000000000001,107.209,107.186,0.023,0.02
30,Beaumont,33.924166666666665,-116.97361111111113,796.0,2612.0,36877,30.926,30.912,0.014,80.098,80.062,0.036000000000000004,0.04
31,Bell,33.98333333333333,-118.18333333333334,43.0,141.0,35477,2.62,2.501,0.119,6.783,6.476,0.307,4.53
32,Bellflower,33.888055555555546,-118.1275,22.0,71.0,76616,6.17,6.117000000000001,0.053,15.981,15.843,0.138,0.86
33,BellGardens,33.96805555555556,-118.15611111111113,37.0,121.0,42072,2.463,2.459,0.004,6.379,6.3679999999999986,0.012,0.18
34,Belmont,37.51805555555556,-122.29166666666669,13.0,43.0,25835,4.63,4.621,0.009000000000000001,11.992,11.97,0.022,0.19
35,Belvedere,37.872777777777785,-122.46444444444445,11.0,36.0,2068,2.406,0.519,1.887,6.234,1.345,4.8889999999999985,78.42
36,Benicia,38.06333333333333,-122.15611111111113,8.0,26.0,26997,15.72,12.929,2.7910000000000004,40.714,33.486,7.229,17.75
37,Berkeley,37.87166666666667,-122.27277777777779,200.0,660.0,112580,17.695999999999994,10.47,7.226,45.833,27.118,18.716,40.83
38,BeverlyHills,34.073055555555555,-118.39944444444444,79.0,259.0,34290,5.71,5.707999999999998,0.002,14.79,14.784,0.006,0.04
